idx,Vin,Vref,P,D1,D2,D0,Validity,ipk2pk,irms,vp_t1,vp_t2,vp_t3,vp_t4,vs_t1,vs_t2,vs_t3,vs_t4,Vo
46,200,160,100,0.64,0.68,-0.020706592,1,6.155551386,1.731030635,1,1,1,1,0,0,0,0,160.0941043
47,200,160,100,0.64,0.7,-0.022504783,1,6.7662389,1.72687453,1,1,1,1,0,0,0,0,160.1553502
48,200,160,100,0.64,0.72,-0.040867994,1,6.138843967,1.542273322,1,1,1,1,0,0,1,0,160.1033528
49,200,160,100,0.64,0.74,-0.04003943,1,6.462716898,1.528757608,1,1,1,1,0,0,1,0,159.8863653
50,200,160,100,0.64,0.76,-0.060663653,1,6.12826187,1.435475089,1,1,1,1,0,0,0,0,160.0962011
51,200,160,100,0.64,0.78,-0.060468803,1,6.444046603,1.45969646,1,1,1,1,0,0,0,0,159.9490996
52,200,160,100,0.64,0.8,-0.078134395,1,6.687268599,1.508686874,1,1,1,1,1,1,1,1,159.9410282
53,200,160,100,0.64,0.82,-0.080761182,1,6.016575231,1.387566837,1,1,1,1,1,1,1,1,160.156377
54,200,160,100,0.64,0.84,-0.080074923,1,6.064336357,1.422860719,1,1,1,1,1,1,1,1,160.0582413
55,200,160,100,0.64,0.86,-0.07937006,1,7.307769683,1.710415007,1,1,1,1,1,1,1,1,159.9043291
56,200,160,100,0.64,0.88,-0.100934972,1,6.046350863,1.477367572,1,1,1,1,1,1,1,1,160.1522357
57,200,160,100,0.64,0.9,-0.100506136,1,6.366949951,1.556625049,1,1,1,1,1,1,1,1,159.9780741
58,200,160,100,0.64,0.92,-0.120806141,1,6.043141411,1.542016982,1,1,1,1,1,1,1,1,160.1480218
59,200,160,100,0.64,0.94,-0.120352773,1,6.364894451,1.618167007,1,1,1,1,1,1,1,1,159.9681435
60,200,160,100,0.64,0.96,-0.139509852,1,6.97647566,1.760766963,1,1,1,1,1,1,1,1,160.0737492
61,200,160,100,0.64,0.98,-0.142142169,1,6.66448683,1.706891468,1,1,1,1,1,1,1,1,160.166363
62,200,160,100,0.64,1,-0.159547195,1,6.974748731,1.781070325,1,1,1,1,1,1,1,1,160.0837624
63,200,160,100,0.66,0.6,0.039052777,1,7.287588478,2.53694892,1,1,1,1,0,0,0,0,159.9870311
64,200,160,100,0.66,0.62,0.019774424,1,6.649993527,2.341688727,1,1,1,1,0,0,0,0,160.0387944
65,200,160,100,0.66,0.64,0.017993445,1,6.629664012,2.205168764,1,1,1,1,0,0,0,0,160.0830299
66,200,160,100,0.66,0.66,0.001296784,1,7.275606543,2.167955112,1,1,1,1,0,0,0,0,159.9345402
67,200,160,100,0.66,0.68,-0.000404468,1,6.647658237,1.938508045,1,1,1,1,0,0,0,0,159.9088923
68,200,160,100,0.66,0.7,-0.019617349,1,7.250323953,1.935078978,1,1,1,1,0,0,0,0,160.0251233
69,200,160,100,0.66,0.72,-0.021718497,1,6.61669758,1.722156479,1,1,1,1,0,0,1,0,160.0426228
70,200,160,100,0.66,0.74,-0.039913101,1,7.233130228,1.771306364,1,1,1,1,0,0,1,0,160.0578423
71,200,160,100,0.66,0.76,-0.04001786,1,6.624901984,1.592387691,1,1,1,1,0,0,1,0,159.8685021
72,200,160,100,0.66,0.78,-0.058730214,1,6.912599459,1.614568419,1,1,1,1,0,0,1,0,159.9447338
73,200,160,100,0.66,0.8,-0.061105988,1,6.598991071,1.521445151,1,1,1,1,0,0,0,0,159.9949766
74,200,160,100,0.66,0.82,-0.079714114,1,7.211047914,1.647636047,1,1,1,1,0,0,0,0,160.0639585
75,200,160,100,0.66,0.84,-0.079773243,1,7.267824447,1.662052761,1,1,1,1,1,1,1,1,160.0617524
76,200,160,100,0.66,0.86,-0.080586035,1,6.348819099,1.488594058,1,1,1,1,1,1,1,1,160.0786806
77,200,160,100,0.66,0.88,-0.082605062,1,6.833355483,1.60158315,1,1,1,1,1,1,1,1,160.1783729
78,200,160,100,0.66,0.9,-0.099819577,1,7.143787984,1.689548365,1,1,1,1,1,1,1,1,160.0875457
79,200,160,100,0.66,0.92,-0.099533152,1,7.463759916,1.801223325,1,1,1,1,1,1,1,1,159.9160604
80,200,160,100,0.66,0.94,-0.120983666,1,6.206674454,1.562993528,1,1,1,1,1,1,1,1,160.1523035
81,200,160,100,0.66,0.96,-0.120655417,1,6.527345569,1.630551475,1,1,1,1,1,1,1,1,159.987052
82,200,160,100,0.66,0.98,-0.139035941,1,6.825657482,1.714509193,1,1,1,1,1,1,1,1,159.9975055
83,200,160,100,0.66,1,-0.14162098,1,6.514411892,1.647656043,1,1,1,1,1,1,1,1,160.08602
84,200,160,100,0.68,0.6,0.039915082,1,8.104891451,2.709573464,1,1,1,1,0,0,0,0,160.025734
85,200,160,100,0.68,0.62,0.037687632,1,7.428100437,2.594062467,1,1,1,1,0,0,0,0,160.1275667
86,200,160,100,0.68,0.64,0.020804981,1,7.106152491,2.432854044,1,1,1,1,0,0,0,0,159.9536612
87,200,160,100,0.68,0.66,0.018118345,1,6.789780627,2.236694778,1,1,1,1,0,0,0,0,160.0514976
88,200,160,100,0.68,0.68,-0.000403533,1,6.161644899,2.033872468,1,1,1,1,0,0,0,0,160.0319894
89,200,160,100,0.68,0.7,-0.002846273,1,6.775126892,1.970551998,1,1,1,1,0,0,0,0,160.1441228
90,200,160,100,0.68,0.72,-0.01951534,1,7.091464196,1.926664308,1,1,1,1,0,0,1,0,159.9856827
91,200,160,100,0.68,0.74,-0.022957558,1,6.76027995,1.771389132,1,1,1,1,0,0,1,0,160.1551152
92,200,160,100,0.68,0.76,-0.03847371,1,7.091752852,1.772699754,1,1,1,1,0,0,1,0,159.8847991
93,200,160,100,0.68,0.78,-0.042936768,1,7.068726788,1.711693378,1,1,1,1,0,0,1,0,160.1624196
94,200,160,100,0.68,0.8,-0.05866113,1,7.07477616,1.678773848,1,1,1,1,0,0,1,0,159.9241139
95,200,160,100,0.68,0.82,-0.062142729,1,6.748496037,1.582211212,1,1,1,1,0,0,0,0,160.0780187
96,200,160,100,0.68,0.84,-0.079284825,1,7.057317889,1.642360707,1,1,1,1,0,0,0,0,159.9941597
97,200,160,100,0.68,0.86,-0.079138976,1,7.307132765,1.698682921,1,1,1,1,1,1,1,1,159.9495942
98,200,160,100,0.68,0.88,-0.080443114,1,6.375370381,1.517427342,1,1,1,1,1,1,1,1,160.0158667
99,200,160,100,0.68,0.9,-0.080330668,1,6.704676064,1.590768018,1,1,1,1,1,1,1,1,159.9218226
100,200,160,100,0.68,0.92,-0.098607472,1,7.001042667,1.674215438,1,1,1,1,1,1,1,1,159.9397878
101,200,160,100,0.68,0.94,-0.102603606,1,6.993390813,1.684129772,1,1,1,1,1,1,1,1,160.1707356
102,200,160,100,0.68,0.96,-0.118196384,1,7.002778416,1.710023688,1,1,1,1,1,1,1,1,159.9055082
103,200,160,100,0.68,0.98,-0.121023466,1,6.691266855,1.651071485,1,1,1,1,1,1,1,1,159.9916698
104,200,160,100,0.68,1,-0.139199865,1,6.988823986,1.726278956,1,1,1,1,1,1,1,1,160.0080509
105,200,160,100,0.7,0.6,0.059461735,1,8.900328909,2.914322855,1,1,1,1,0,0,0,0,159.9362262
106,200,160,100,0.7,0.62,0.040539801,1,8.229216137,2.809201988,1,1,1,1,0,0,0,0,159.9983889
107,200,160,100,0.7,0.64,0.038615402,1,7.596097214,2.568210402,1,1,1,1,0,0,0,0,160.001848
108,200,160,100,0.7,0.66,0.019571245,1,6.962150888,2.385470287,1,1,1,1,0,0,0,0,160.0387119
109,200,160,100,0.7,0.68,0.019336071,1,6.964168189,2.271518302,1,1,1,1,0,0,0,0,159.9130976
110,200,160,100,0.7,0.7,-0.000733561,1,6.316700307,2.067284543,1,1,1,1,0,0,0,0,160.0457227
111,200,160,100,0.7,0.72,-0.001890735,1,6.950130841,2.018766127,1,1,1,1,0,0,0,0,160.0034441
112,200,160,100,0.7,0.74,-0.020009728,1,6.642274376,1.882653223,1,1,1,1,0,0,0,0,159.9990842
