,f,L,C,pl_s1,pr_s1,pl_s2,pr_s2,pl_l,pr_l,pl_c,pr_c,pfe,pin,pout,eff,ilmax,ilmin,vmax,vmin
717,120000,0.0001518,8.33E-05,121.9691,120.693,120.693,-104.286,-104.286,-101.8827978,-101.8827978,-101.8605978,0.0192899,121.9691,101.8605978,0.835134454,8.53121,8.02225,12.0435,11.8602
718,120000,0.0001641,8.33E-05,120.9487,119.765,119.765,-104.546,-104.546,-101.9957605,-101.9957605,-101.9851605,0.0216497,120.9487,101.9851605,0.843210059,8.52292,8.04249,12.0375,11.868
719,120000,0.0001763,8.33E-05,114.6909,113.993,113.993,-105.02,-105.02,-102.2469749,-102.2469749,-102.2468749,0.0237487,114.6909,102.2468749,0.891499455,8.51074,8.05829,12.0358,11.8771
720,120000,0.0001886,8.33E-05,114.72159,114.0603,114.0603,-105.558,-105.558,-102.5576908,-102.5576908,-102.5380908,0.0247231,114.72159,102.5380908,0.893799422,8.50002,8.08225,12.0356,11.8875
721,120000,0.0002009,8.33E-05,114.99217,114.3299,114.3299,-105.815,-105.815,-102.6732713,-102.6732713,-102.6800713,0.026323,114.99217,102.6800713,0.892930982,8.4878,8.09529,12.0339,11.8954
722,120000,0.0002132,8.33E-05,115.56314,114.9008,114.9008,-106.385,-106.385,-102.969504,-102.969504,-102.963604,0.0280421,115.56314,102.963604,0.89097271,8.48129,8.11036,12.0325,11.9019
723,120000,0.0002254,8.33E-05,115.74399,115.0813,115.0813,-106.561,-106.561,-103.0435975,-103.0435975,-103.0539975,0.0300035,115.74399,103.0539975,0.890361543,8.47282,8.11959,12.0315,11.9075
724,120000,0.0002377,8.33E-05,116.287,115.622,115.622,-107.072,-107.072,-103.3039638,-103.3039638,-103.3002638,0.0309643,116.287,103.3002638,0.888321685,8.46615,8.13453,12.0303,11.9134
725,120000,0.00025,8.33E-05,116.65278,115.9896,115.9896,-107.463,-107.463,-103.4949871,-103.4949871,-103.4888871,0.0332003,116.65278,103.4888871,0.8871532,8.46233,8.14377,12.0296,11.918
726,140000,3.90E-06,7.31E-05,174.262794,168.04398,168.04398,-88.0878,-88.0878,-88.03522161,-88.03522161,-87.93392161,4.94E-05,174.262794,87.93392161,0.504605255,9.06581,5.51033,13.08,9.74361
727,140000,1.44E-05,7.31E-05,176.822613,170.94171,170.94171,-95.3301,-95.3301,-95.12501277,-95.12501277,-95.07011277,0.000352312,176.822613,95.07011277,0.537658115,8.7317,6.91252,12.4634,11.0944
728,140000,2.49E-05,7.31E-05,168.015447,162.88549,162.88549,-96.9289,-96.9289,-96.55700365,-96.55700365,-96.56970365,0.00106609,168.015447,96.56970365,0.574766817,8.68355,7.19045,12.2999,11.3539
729,140000,3.54E-05,7.31E-05,150.604543,146.81181,146.81181,-98.0481,-98.0481,-97.51015449,-97.51015449,-97.48195449,0.0020452,150.604543,97.48195449,0.647271009,8.65705,7.39782,12.2152,11.4922
730,140000,4.59E-05,7.31E-05,141.591878,138.51626,138.51626,-98.9726,-98.9726,-98.25903735,-98.25903735,-98.25223735,0.00314264,141.591878,98.25223735,0.693911535,8.62329,7.54677,12.1666,11.5808
731,140000,5.65E-05,7.31E-05,140.688202,137.73234,137.73234,-99.7284,-99.7284,-98.84741973,-98.84741973,-98.84481973,0.0043158,140.688202,98.84481973,0.70258073,8.60284,7.66813,12.1333,11.6439
732,140000,6.70E-05,7.31E-05,132.14941,129.8567,129.8567,-100.379,-100.379,-99.33966049,-99.33966049,-99.33626049,0.00544224,132.14941,99.33626049,0.751696587,8.5747,7.75516,12.1113,11.6909
733,140000,7.75E-05,7.31E-05,132.38657,130.1199,130.1199,-100.977,-100.977,-99.75454227,-99.75454227,-99.75544227,0.00679159,132.38657,99.75544227,0.753516329,8.55446,7.81413,12.0937,11.7235
734,140000,8.80E-05,7.31E-05,128.53423,126.5771,126.5771,-101.414,-101.414,-100.034661,-100.034661,-100.025161,0.00789725,128.53423,100.025161,0.778198625,8.53204,7.86912,12.0771,11.7477
735,140000,9.86E-05,7.31E-05,123.39612,121.8494,121.8494,-101.963,-101.963,-100.4096951,-100.4096951,-100.4067951,0.00936119,123.39612,100.4067951,0.813694913,8.52327,7.91249,12.0703,11.7733
736,140000,0.0001091,7.31E-05,123.71083,122.1751,122.1751,-102.43,-102.43,-100.6965084,-100.6965084,-100.6984084,0.0107039,123.71083,100.6984084,0.813982159,8.51307,7.95026,12.061,11.7918
737,140000,0.0001196,7.31E-05,124.02929,122.4993,122.4993,-102.828,-102.828,-100.9447779,-100.9447779,-100.9247779,0.0123524,124.02929,100.9247779,0.813717291,8.50911,7.98109,12.0546,11.8069
738,140000,0.0001301,7.31E-05,124.0004,122.494,122.494,-103.126,-103.126,-101.1019548,-101.1019548,-101.1017548,0.0141231,124.0004,101.1017548,0.815334102,8.50214,8.0035,12.0477,11.8196
739,140000,0.0001406,7.31E-05,124.05015,122.5735,122.5735,-103.588,-103.588,-101.3554216,-101.3554216,-101.3466216,0.0158973,124.05015,101.3466216,0.816981048,8.49539,8.02369,12.0414,11.8288
740,140000,0.0001512,7.31E-05,121.64513,120.3691,120.3691,-103.963,-103.963,-101.5452524,-101.5452524,-101.5385524,0.0175182,121.64513,101.5385524,0.8347112,8.48808,8.04338,12.035,11.8371
741,140000,0.0001617,7.31E-05,115.48515,114.6805,114.6805,-104.335,-104.335,-101.7646694,-101.7646694,-101.7508694,0.018611,115.48515,101.7508694,0.881073189,8.47815,8.06312,12.0336,11.8481
742,140000,0.0001722,7.31E-05,115.28151,114.5127,114.5127,-104.628,-104.628,-101.9404108,-101.9404108,-101.9385108,0.0199117,115.28151,101.9385108,0.884257248,8.46885,8.07775,12.0338,11.8599
743,140000,0.0001827,7.31E-05,115.80034,115.0358,115.0358,-105.206,-105.206,-102.259146,-102.259146,-102.244346,0.0211056,115.80034,102.244346,0.882936493,8.46301,8.09416,12.0322,11.8677
744,140000,0.0001932,7.31E-05,116.20764,115.4368,115.4368,-105.526,-105.526,-102.422625,-102.422625,-102.426125,0.0226375,116.20764,102.426125,0.88140612,8.45732,8.10571,12.031,11.8754
745,140000,0.0002038,7.31E-05,116.44405,115.6765,115.6765,-105.808,-105.808,-102.5816833,-102.5816833,-102.5637833,0.0231891,116.44405,102.5637833,0.880798832,8.45053,8.12174,12.03,11.8822
746,140000,0.0002143,7.31E-05,116.96653,116.1931,116.1931,-106.249,-106.249,-102.812917,-102.812917,-102.786017,0.0251371,116.96653,102.786017,0.878764353,8.44749,8.1298,12.0294,11.8879
747,140000,3.90E-06,7.29E-05,169.642603,163.63101,163.63101,-86.3391,-86.3391,-86.28661651,-86.28661651,-86.15451651,7.15E-05,169.642603,86.15451651,0.507858963,9.18353,4.90978,13.1146,9.44361
748,140000,1.44E-05,7.29E-05,176.640502,170.77334,170.77334,-95.3384,-95.3384,-95.12985026,-95.12985026,-95.10095026,0.000347429,176.640502,95.10095026,0.538387002,8.72258,6.91598,12.4657,11.093
749,140000,2.49E-05,7.29E-05,168.165284,163.03028,163.03028,-97.0088,-97.0088,-96.63319978,-96.63319978,-96.58119978,0.00107965,168.165284,96.58119978,0.574323056,8.69118,7.18867,12.302,11.3534
750,140000,3.54E-05,7.29E-05,150.676002,146.87734,146.87734,-98.0374,-98.0374,-97.49294539,-97.49294539,-97.49444539,0.00202125,150.676002,97.49444539,0.647046936,8.64594,7.39407,12.216,11.4921
751,140000,4.59E-05,7.29E-05,141.615331,138.54077,138.54077,-99.0107,-99.0107,-98.29083044,-98.29083044,-98.27553044,0.00311001,141.615331,98.27553044,0.693961097,8.6221,7.55115,12.1668,11.5812
752,140000,5.65E-05,7.29E-05,140.687494,137.72998,137.72998,-99.7048,-99.7048,-98.82637582,-98.82637582,-98.83447582,0.00434636,140.687494,98.83447582,0.702510742,8.60345,7.66545,12.1332,11.6432
753,140000,6.70E-05,7.29E-05,132.20323,129.9101,129.9101,-100.427,-100.427,-99.37976014,-99.37976014,-99.35566014,0.00544544,132.20323,99.35566014,0.751537312,8.57791,7.75813,12.1123,11.6903
754,140000,7.75E-05,7.29E-05,132.32854,130.0688,130.0688,-101.015,-101.015,-99.78187198,-99.78187198,-99.76657198,0.0066818,132.32854,99.76657198,0.753930875,8.55197,7.8176,12.0937,11.723
755,140000,8.80E-05,7.29E-05,129.52251,127.4937,127.4937,-101.409,-101.409,-100.0282004,-100.0282004,-100.0200004,0.0080664,129.52251,100.0200004,0.772220986,8.53474,7.86481,12.0775,11.7465
756,140000,9.86E-05,7.29E-05,123.31063,121.7651,121.7651,-101.894,-101.894,-100.3669952,-100.3669952,-100.3624952,0.00943685,123.31063,100.3624952,0.813899784,8.52497,7.91174,12.0703,11.7735
757,140000,0.0001091,7.29E-05,123.61779,122.0773,122.0773,-102.271,-102.271,-100.5959668,-100.5959668,-100.6091668,0.0109533,123.61779,100.6091668,0.81387288,8.51585,7.94656,12.0627,11.7917
758,140000,0.0001196,7.29E-05,124.00071,122.4717,122.4717,-102.813,-102.813,-100.9287003,-100.9287003,-100.9266003,0.0124282,124.00071,100.9266003,0.813919536,8.50765,7.97803,12.055,11.8072
759,140000,0.0001301,7.29E-05,124.03768,122.5296,122.5296,-103.14,-103.14,-101.1101713,-101.1101713,-101.1083713,0.0138978,124.03768,101.1083713,0.815142393,8.49881,8.00414,12.0478,11.8196
760,140000,0.0001406,7.29E-05,124.05283,122.5731,122.5731,-103.548,-103.548,-101.3271004,-101.3271004,-101.3261004,0.0155179,124.05283,101.3261004,0.816797975,8.49169,8.02561,12.0409,11.8288
761,140000,0.0001512,7.29E-05,122.89623,121.5271,121.5271,-103.924,-103.924,-101.5177099,-101.5177099,-101.5163099,0.0174211,122.89623,101.5163099,0.826032743,8.48679,8.04332,12.0345,11.8365
762,140000,0.0001617,7.29E-05,115.44439,114.6333,114.6333,-104.205,-104.205,-101.6823685,-101.6823685,-101.6847685,0.018918,115.44439,101.6847685,0.880811692,8.47824,8.05982,12.0335,11.8477
763,140000,0.0001722,7.29E-05,115.20428,114.4396,114.4396,-104.608,-104.608,-101.9317471,-101.9317471,-101.9243471,0.0206385,115.20428,101.9243471,0.884727087,8.47453,8.07641,12.0344,11.859
764,140000,0.0001827,7.29E-05,115.78663,115.0181,115.0181,-105.137,-105.137,-102.2189377,-102.2189377,-102.2088377,0.0211452,115.78663,102.2088377,0.882734368,8.46269,8.0935,12.0323,11.8674
765,140000,0.0001932,7.29E-05,116.01222,115.2474,115.2474,-105.414,-105.414,-102.3657467,-102.3657467,-102.3569467,0.0219821,116.01222,102.3569467,0.882294527,8.45497,8.10846,12.0305,11.8753
766,140000,0.0002038,7.29E-05,116.59695,115.8245,115.8245,-105.893,-105.893,-102.6110571,-102.6110571,-102.6192571,0.0242585,116.59695,102.6192571,0.880119567,8.45325,8.11702,12.0299,11.8816
767,140000,0.0002143,7.29E-05,116.93582,116.1654,116.1654,-106.26,-106.26,-102.8042442,-102.8042442,-102.8005442,0.0253846,116.93582,102.8005442,0.879119369,8.446,8.12676,12.0285,11.8879
768,140000,3.90E-06,7.27E-05,174.894802,168.64334,168.64334,-88.2674,-88.2674,-88.21663202,-88.21663202,-87.96093202,4.26E-05,174.894802,87.96093202,0.502936228,9.027,5.72294,13.0614,9.74415
769,140000,1.44E-05,7.27E-05,176.637913,170.77171,170.77171,-95.3491,-95.3491,-95.1388827,-95.1388827,-95.1157827,0.000342335,176.637913,95.1157827,0.538478864,8.71494,6.92154,12.4683,11.0936
770,140000,2.49E-05,7.27E-05,168.128498,162.98466,162.98466,-96.8496,-96.8496,-96.49225581,-96.49225581,-96.49335581,0.001076,168.128498,96.49335581,0.573926235,8.69202,7.19204,12.3002,11.3517
771,140000,3.54E-05,7.27E-05,150.65753,146.8601,146.8601,-98.036,-98.036,-97.49569966,-97.49569966,-97.48279966,0.00204583,150.65753,97.48279966,0.64704897,8.65368,7.39426,12.2176,11.4909
772,140000,4.59E-05,7.27E-05,141.485285,138.41295,138.41295,-98.9115,-98.9115,-98.20769618,-98.20769618,-98.21449618,0.00314897,141.485285,98.21449618,0.694167568,8.62607,7.54847,12.1674,11.5793
773,140000,5.65E-05,7.27E-05,140.665765,137.71355,137.71355,-99.7565,-99.7565,-98.86904236,-98.86904236,-98.85624236,0.00435033,140.665765,98.85624236,0.702774,8.6063,7.66787,12.1344,11.6423
774,140000,6.70E-05,7.27E-05,132.27709,129.9813,129.9813,-100.464,-100.464,-99.4028239,-99.4028239,-99.3779239,0.00555004,132.27709,99.3779239,0.751285985,8.58234,7.75477,12.1127,11.6892
775,140000,7.75E-05,7.27E-05,132.33348,130.0666,130.0666,-100.921,-100.921,-99.71724905,-99.71724905,-99.71294905,0.00667703,132.33348,99.71294905,0.75349752,8.55216,7.81806,12.0938,11.7232
776,140000,8.80E-05,7.27E-05,130.75676,128.6352,128.6352,-101.358,-101.358,-99.99145046,-99.99145046,-99.99495046,0.00790659,130.75676,99.99495046,0.764740197,8.53063,7.86732,12.0776,11.7471
777,140000,9.86E-05,7.27E-05,123.36117,121.8169,121.8169,-101.962,-101.962,-100.4105205,-100.4105205,-100.3954205,0.00939381,123.36117,100.3954205,0.813833239,8.52443,7.91259,12.0704,11.772
778,140000,0.0001091,7.27E-05,123.74788,122.2076,122.2076,-102.404,-102.404,-100.681914,-100.681914,-100.681114,0.0105368,123.74788,100.681114,0.813598698,8.51008,7.95165,12.0617,11.7917
779,140000,0.0001196,7.27E-05,123.88092,122.3594,122.3594,-102.797,-102.797,-100.9241542,-100.9241542,-100.9040542,0.012024,123.88092,100.9040542,0.814524579,8.50516,7.98416,12.0548,11.8067
780,140000,0.0001301,7.27E-05,124.19674,122.6888,122.6888,-103.301,-103.301,-101.2061177,-101.2061177,-101.1892177,0.0139603,124.19674,101.1892177,0.814749387,8.49968,8.0039,12.0477,11.8182
781,140000,0.0001406,7.27E-05,124.07152,122.5934,122.5934,-103.589,-103.589,-101.3504982,-101.3504982,-101.3418982,0.015862,124.07152,101.3418982,0.816802262,8.49295,8.02177,12.0411,11.8274
782,140000,0.0001512,7.27E-05,122.71654,121.3668,121.3668,-104.013,-104.013,-101.576457,-101.576457,-101.554157,0.0179195,122.71654,101.554157,0.827550687,8.49044,8.04071,12.036,11.8355
783,140000,0.0001617,7.27E-05,115.35092,114.5434,114.5434,-104.161,-104.161,-101.6388057,-101.6388057,-101.6655057,0.0190704,115.35092,101.6655057,0.88135843,8.47651,8.05642,12.0338,11.846
784,140000,0.0001722,7.27E-05,115.22097,114.4579,114.4579,-104.647,-104.647,-101.9395389,-101.9395389,-101.9537389,0.0197112,115.22097,101.9537389,0.884854024,8.46712,8.07798,12.0338,11.8586
785,140000,0.0001827,7.27E-05,115.65728,114.8926,114.8926,-105.061,-105.061,-102.1671714,-102.1671714,-102.1760714,0.021006,115.65728,102.1760714,0.883438305,8.46022,8.09224,12.0319,11.8672
786,140000,0.0001932,7.27E-05,116.20215,115.4325,115.4325,-105.537,-105.537,-102.4373761,-102.4373761,-102.4211761,0.022406,116.20215,102.4211761,0.881405172,8.4569,8.10709,12.0314,11.8749
787,140000,0.0002038,7.27E-05,116.49027,115.7209,115.7209,-105.829,-105.829,-102.5790618,-102.5790618,-102.5791618,0.0232549,116.49027,102.5791618,0.880581372,8.44859,8.11934,12.0295,11.8819
788,140000,0.0002143,7.27E-05,116.74845,115.9795,115.9795,-106.093,-106.093,-102.7084878,-102.7084878,-102.7190878,0.0248127,116.74845,102.7190878,0.879832561,8.44339,8.12774,12.0286,11.8875
789,140000,3.90E-06,7.26E-05,169.082245,163.13515,163.13515,-86.6725,-86.6725,-86.61980116,-86.61980116,-86.25290116,7.23E-05,169.082245,86.25290116,0.510123941,9.26435,4.9689,13.1354,9.45018
790,140000,1.44E-05,7.26E-05,176.827339,170.94813,170.94813,-95.3583,-95.3583,-95.15251795,-95.15251795,-95.11041795,0.000356109,176.827339,95.11041795,0.53787168,8.7352,6.90631,12.4682,11.0913
791,140000,2.49E-05,7.26E-05,168.265549,163.12183,163.12183,-96.9883,-96.9883,-96.61187475,-96.61187475,-96.58177475,0.00103705,168.265549,96.58177475,0.573984249,8.67695,7.20419,12.2993,11.3542
792,140000,3.54E-05,7.26E-05,150.573508,146.78536,146.78536,-98.0806,-98.0806,-97.53647862,-97.53647862,-97.49917862,0.00199697,150.573508,97.49917862,0.647518809,8.64637,7.40198,12.217,11.4904
793,140000,4.59E-05,7.26E-05,141.586009,138.50603,138.50603,-98.9063,-98.9063,-98.21303364,-98.21303364,-98.18953364,0.00317449,141.586009,98.18953364,0.693497432,8.63245,7.55052,12.1688,11.5786
794,140000,5.65E-05,7.26E-05,140.761484,137.79928,137.79928,-99.7138,-99.7138,-98.84022659,-98.84022659,-98.82612659,0.00432256,140.761484,98.82612659,0.702082159,8.6025,7.66706,12.1343,11.6428
795,140000,6.70E-05,7.26E-05,132.17215,129.8765,129.8765,-100.361,-100.361,-99.32124968,-99.32124968,-99.32734968,0.00554098,132.17215,99.32734968,0.751499841,8.57949,7.75259,12.1125,11.6894
796,140000,7.75E-05,7.26E-05,132.37966,130.1132,130.1132,-100.973,-100.973,-99.75672159,-99.75672159,-99.73742159,0.00675973,132.37966,99.73742159,0.753419533,8.55762,7.81901,12.0946,11.7228
797,140000,8.80E-05,7.26E-05,129.18255,127.1725,127.1725,-101.329,-101.329,-99.9743493,-99.9743493,-99.9811493,0.00783024,129.18255,99.9811493,0.773952436,8.52991,7.86979,12.0781,11.7475
798,140000,9.86E-05,7.26E-05,123.38436,121.8382,121.8382,-101.959,-101.959,-100.4059931,-100.4059931,-100.4004931,0.00907847,123.38436,100.4004931,0.813721392,8.51753,7.91599,12.0704,11.7733
799,140000,0.0001091,7.26E-05,123.69893,122.1611,122.1611,-102.389,-102.389,-100.6735254,-100.6735254,-100.6702254,0.0104994,123.69893,100.6702254,0.813832629,8.51079,7.95334,12.0618,11.7919
800,140000,0.0001196,7.26E-05,123.90139,122.3763,122.3763,-102.768,-102.768,-100.8988657,-100.8988657,-100.9037657,0.012358,123.90139,100.9037657,0.814387681,8.50677,7.97863,12.0555,11.8072
801,140000,0.0001301,7.26E-05,124.18519,122.6713,122.6713,-103.207,-103.207,-101.1448086,-101.1448086,-101.1421086,0.0138522,124.18519,101.1421086,0.814445818,8.49791,8.00404,12.0474,11.8185
802,140000,0.0001406,7.26E-05,123.94688,122.4696,122.4696,-103.476,-103.476,-101.2801383,-101.2801383,-101.2843383,0.0156694,123.94688,101.2843383,0.81715924,8.49148,8.02315,12.0412,11.8281
803,140000,0.0001512,7.26E-05,122.27972,120.9514,120.9514,-103.873,-103.873,-101.4851192,-101.4851192,-101.4834192,0.017561,122.27972,101.4834192,0.829928456,8.48732,8.04208,12.0349,11.8357
804,140000,0.0001617,7.26E-05,115.46505,114.6555,114.6555,-104.247,-104.247,-101.7018962,-101.7018962,-101.7065962,0.0189777,115.46505,101.7065962,0.880843131,8.47816,8.05909,12.0334,11.8471
805,140000,0.0001722,7.26E-05,115.20998,114.4446,114.4446,-104.604,-104.604,-101.9188114,-101.9188114,-101.9263114,0.019828,115.20998,101.9263114,0.884700366,8.46871,8.07843,12.0337,11.8591
806,140000,0.0001827,7.26E-05,115.72308,114.9556,114.9556,-105.088,-105.088,-102.1900196,-102.1900196,-102.1816196,0.0214183,115.72308,102.1816196,0.882983927,8.46395,8.0924,12.0324,11.8669
807,140000,0.0001932,7.26E-05,116.18132,115.4144,115.4144,-105.554,-105.554,-102.4385028,-102.4385028,-102.4201028,0.0227329,116.18132,102.4201028,0.881553961,8.45727,8.10493,12.0305,11.8737
808,140000,0.0002038,7.26E-05,116.47463,115.7061,115.7061,-105.825,-105.825,-102.581083,-102.581083,-102.572583,0.0237438,116.47463,102.572583,0.880643132,8.45081,8.11814,12.03,11.8815
