x,y,z,T,node_groups
23.18780194069691,2.276584933036629,48.22427200668818,50.964080922668984,0.0
16.24758764353841,-20.87170507048235,56.58031797844237,51.20445484026715,0.0
1.479423373503345,-15.0624364488127,5.0,51.648843982057365,0.0
-22.45640599516702,12.60918799032008,48.55200893859738,51.005370581668174,0.0
2.872626942075295,35.35456686613215,63.0,51.30901470040566,0.0
2.2000555539139,6.85059752974441,57.135014841457,51.37213741961409,0.0
17.4442088696367,-5.938917187078989,35.30271403575593,51.178201437860146,0.0
21.33567619817475,-36.46712795335876,27.71633728107255,50.91235241319285,0.0
39.66286897590351,6.849768215079308,12.40502474938607,50.56902082003561,0.0
-29.9206311082899,-17.40621147945177,49.2867213938003,50.798120332012104,0.0
18.62965365520002,-31.73008160397919,15.71263265486757,51.0446843906678,0.0
-25.56464923356915,6.933642286165886,0.0,50.65261924040042,0.0
18.48268622454793,5.68654152050377,25.38858016242476,51.13590145575763,0.0
28.94757038094318,21.39940145927192,41.38460279061464,50.85476632206122,0.0
1.776631747024421,-16.28155679870935,32.04803907086779,51.649998329807765,0.0
-10.99748567327208,34.17650895689707,0.0,50.94411500294236,0.0
-9.238795325112898,-18.67316567634918,63.0,51.64630824077606,0.0
0.7572303458378632,-23.43309920910286,0.0,51.3836812050705,0.0
13.16623868439095,-38.03567613314699,26.7667701835343,51.12363373688869,0.0
16.01075965780605,-39.09882447312157,44.74021646570994,50.98711569055714,0.0
-14.58000515706476,-10.90517770536729,0.0,50.931357274619366,0.0
-13.96199525233987,19.24954441756953,42.45312729453001,51.38778870908667,0.0
5.316314276698063,14.0302418858992,41.75276043709928,51.642994650662175,0.0
-10.24196524516509,-38.92511590113548,33.43942392239444,51.172560212604004,0.0
-30.9039914976526,-19.18573118065425,38.27524485075939,50.82229207641501,0.0
34.97638733969436,-12.34640348044867,63.0,50.53283890044571,0.0
19.95034225900678,10.68709545576019,39.21500346979116,51.121026393129966,0.0
-4.265745018984457,-40.0233171967668,9.685366995546012,51.14880604016823,0.0
39.19340354988004,-9.161856699176797,16.90708758471402,50.613181809098116,0.0
-5.30808440984658,-41.9152327906925,20.9400325307395,51.11516449023791,0.0
5.314461346730641,41.9144247317568,23.86246071562944,51.11694998450565,0.0
